Time,Output
-11.5135,0.65942005
-11.513,0.659421634
-11.5125,0.65942305
-11.512,0.659424322
-11.5115,0.659425464
-11.511,0.659426479
-11.5105,0.659427352
-11.51,0.659428028
-11.5095,0.659428452
-11.509,0.659428591
-11.5085,0.659428438
-11.508,0.659428025
-11.5075,0.659427422
-11.507,0.659426673
-11.5065,0.659425791
-11.506,0.659424827
-11.5055,0.659423865
-11.505,0.659422956
-11.5045,0.659422103
-11.504,0.659421293
-11.5035,0.659420501
-11.503,0.659419738
-11.5025,0.659419057
-11.502,0.659418519
-11.5015,0.65941815
-11.501,0.659417922
-11.5005,0.659417784
-11.5,0.659417733
-11.4995,0.659417827
-11.499,0.659418108
-11.4985,0.659418593
-11.498,0.659419289
-11.4975,0.659420189
-11.497,0.659421327
-11.4965,0.659422789
-11.496,0.659424615
-11.4955,0.65942675
-11.495,0.659429144
-11.4945,0.659431779
-11.494,0.659434619
-11.4935,0.659437579
-11.493,0.659440563
-11.4925,0.659443553
-11.492,0.659446616
-11.4915,0.659449824
-11.491,0.659453183
-11.4905,0.65945662
-11.49,0.659460011
-11.4895,0.65946327
-11.489,0.659466435
-11.4885,0.659469593
-11.488,0.65947276
-11.4875,0.659475924
-11.487,0.659479082
-11.4865,0.659482242
-11.486,0.659485439
-11.4855,0.659488724
-11.485,0.659492143
-11.4845,0.659495747
-11.484,0.65949959
-11.4835,0.659503691
-11.483,0.659508017
-11.4825,0.65951248
-11.482,0.65951693
-11.4815,0.659521258
-11.481,0.659525473
-11.4805,0.659529622
-11.48,0.659533718
-11.4795,0.659537744
-11.479,0.659541674
-11.4785,0.659545495
-11.478,0.659549224
-11.4775,0.659552895
-11.477,0.65955653
-11.4765,0.659560101
-11.476,0.659563504
-11.4755,0.659566653
-11.475,0.659569561
-11.4745,0.659572247
-11.474,0.659574693
-11.4735,0.659576891
-11.473,0.659578854
-11.4725,0.659580558
-11.472,0.659581912
-11.4715,0.659582834
-11.471,0.659583332
-11.4705,0.659583479
-11.47,0.659583355
-11.4695,0.659583004
-11.469,0.659582438
-11.4685,0.65958166
-11.468,0.659580663
-11.4675,0.659579413
-11.467,0.659577869
-11.4665,0.659576067
-11.466,0.659574142
-11.4655,0.659572252
-11.465,0.65957046
-11.4645,0.659568766
-11.464,0.659567199
-11.4635,0.659565784
-11.463,0.659564496
-11.4625,0.659563302
-11.462,0.65956218
-11.4615,0.659561132
-11.461,0.659560204
-11.4605,0.659559461
-11.46,0.65955891
-11.4595,0.659558501
-11.459,0.659558176
-11.4585,0.659557911
-11.458,0.659557734
-11.4575,0.659557728
-11.457,0.659557996
-11.4565,0.659558611
-11.456,0.659559601
-11.4555,0.659560949
-11.455,0.65956261
-11.4545,0.659564531
-11.454,0.659566663
-11.4535,0.65956897
-11.453,0.659571428
-11.4525,0.659573995
-11.452,0.659576612
-11.4515,0.659579255
-11.451,0.659581949
-11.4505,0.659584708
-11.45,0.659587485
-11.4495,0.659590227
-11.449,0.659592916
-11.4485,0.659595525
-11.448,0.659598009
-11.4475,0.659600339
-11.447,0.659602517
-11.4465,0.659604575
-11.446,0.659606513
-11.4455,0.659608273
-11.445,0.659609812
-11.4445,0.659611142
-11.444,0.659612262
-11.4435,0.659613126
-11.443,0.659613692
-11.4425,0.659613961
-11.442,0.659614006
-11.4415,0.659613968
-11.441,0.659613978
-11.4405,0.659614087
-11.44,0.659614253
-11.4395,0.65961438
-11.439,0.659614429
-11.4385,0.659614471
-11.438,0.65961462
-11.4375,0.659614949
-11.437,0.659615468
-11.4365,0.659616153
-11.436,0.659617002
-11.4355,0.659618033
-11.435,0.659619221
-11.4345,0.659620476
-11.434,0.659621705
-11.4335,0.659622872
-11.433,0.659623974
-11.4325,0.659624988
-11.432,0.659625885
-11.4315,0.659626677
-11.431,0.659627394
-11.4305,0.659628027
-11.43,0.659628507
-11.4295,0.659628736
-11.429,0.659628642
-11.4285,0.659628222
-11.428,0.659627512
-11.4275,0.659626536
-11.427,0.659625279
-11.4265,0.659623709
-11.426,0.659621819
-11.4255,0.65961964
-11.425,0.659617214
-11.4245,0.659614579
-11.424,0.659611792
-11.4235,0.659608894
-11.423,0.659605903
-11.4225,0.659602821
-11.422,0.659599587
-11.4215,0.659596131
-11.421,0.659592438
-11.4205,0.659588532
-11.42,0.659584459
-11.4195,0.65958027
-11.419,0.659576013
-11.4185,0.659571722
-11.418,0.659567409
-11.4175,0.659563067
-11.417,0.65955866
-11.4165,0.659554127
-11.416,0.659549425
-11.4155,0.659544563
-11.415,0.659539597
-11.4145,0.659534612
-11.414,0.659529663
-11.4135,0.659524735
-11.413,0.659519774
-11.4125,0.659514733
-11.412,0.65950956
-11.4115,0.659504218
-11.411,0.659498733
-11.4105,0.659493178
-11.41,0.659487591
-11.4095,0.659481941
-11.409,0.65947617
-11.4085,0.659470256
-11.408,0.659464247
-11.4075,0.659458199
-11.407,0.659452105
-11.4065,0.659445948
-11.406,0.659439775
-11.4055,0.659433713
-11.405,0.65942792
-11.4045,0.659422478
-11.404,0.659417414
-11.4035,0.65941278
-11.403,0.659408633
-11.4025,0.659404972
-11.402,0.659401777
-11.4015,0.659399048
-11.401,0.659396801
-11.4005,0.659395069
-11.4,0.659393891
-11.3995,0.659393289
-11.399,0.659393241
-11.3985,0.659393698
-11.398,0.659394631
-11.3975,0.659396013
-11.397,0.659397786
-11.3965,0.659399898
-11.396,0.659402308
-11.3955,0.659404967
-11.395,0.659407812
-11.3945,0.659410793
-11.394,0.659413901
-11.3935,0.659417149
